Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides Parental_bR1	Peptides Parental_bR2	Peptides Parental_bR3	Peptides Resistant_bR1	Peptides Resistant_bR2	Peptides Resistant_bR3	Razor + unique peptides Parental_bR1	Razor + unique peptides Parental_bR2	Razor + unique peptides Parental_bR3	Razor + unique peptides Resistant_bR1	Razor + unique peptides Resistant_bR2	Razor + unique peptides Resistant_bR3	Unique peptides Parental_bR1	Unique peptides Parental_bR2	Unique peptides Parental_bR3	Unique peptides Resistant_bR1	Unique peptides Resistant_bR2	Unique peptides Resistant_bR3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Identification type Parental_bR1	Identification type Parental_bR2	Identification type Parental_bR3	Identification type Resistant_bR1	Identification type Resistant_bR2	Identification type Resistant_bR3	Sequence coverage Parental_bR1 [%]	Sequence coverage Parental_bR2 [%]	Sequence coverage Parental_bR3 [%]	Sequence coverage Resistant_bR1 [%]	Sequence coverage Resistant_bR2 [%]	Sequence coverage Resistant_bR3 [%]	Intensity	Intensity Parental_bR1	Intensity Parental_bR2	Intensity Parental_bR3	Intensity Resistant_bR1	Intensity Resistant_bR2	Intensity Resistant_bR3	LFQ intensity Parental_bR1	LFQ intensity Parental_bR2	LFQ intensity Parental_bR3	LFQ intensity Resistant_bR1	LFQ intensity Resistant_bR2	LFQ intensity Resistant_bR3	MS/MS Count Parental_bR1	MS/MS Count Parental_bR2	MS/MS Count Parental_bR3	MS/MS Count Resistant_bR1	MS/MS Count Resistant_bR2	MS/MS Count Resistant_bR3	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
sp|P05787|K2C8_HUMAN;CON__P05787;CON__H-INV:HIT000292931;CON__Q9H552;CON__REFSEQ:XP_092267;CON__Q922U2;CON__Q5XQN5	sp|P05787|K2C8_HUMAN;CON__P05787;CON__H-INV:HIT000292931	19;19;10;4;3;1;1	16;16;9;2;3;1;1	14;14;8;2;3;0;0	>sp|P05787|K2C8_HUMAN Keratin, type II cytoskeletal 8 OS=Homo sapiens GN=KRT8 PE=1 SV=7;>P05787 SWISS-PROT:P05787 Tax_Id=9606 Gene_Symbol=KRT8 Keratin, type II cytoskeletal 8;>H-INV:HIT000292931 Tax_Id=9606 Gene_Symbol=- Similar to Keratin, type II cytoske	7	19	16	14	17	17	18	4	5	2	15	15	15	3	5	1	13	13	13	3	5	1	37.7	33.5	29.8	53.704	483	483;483;443;499;213;580;601	0	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	37.7	37.7	29.4	8.3	12.4	3.9	123860000000	51381000000	30625000000	41815000000	20147000	12431000	3684200	34458000000	29225000000	32935000000	6570100	7589200	0	22	23	23	0	0	0	68			+	10	185;648;685;686;687;2255;2598;3941;4082;4245;4488;4671;4672;4754;4929;6106;6244;6810;7715	True;True;True;True;True;True;True;False;False;True;False;True;True;True;True;True;True;True;True	185;649;686;687;688;2262;2605;3949;4090;4253;4254;4499;4682;4683;4765;4940;6119;6258;6259;6826;7733	859;860;861;3047;3048;3049;3218;3219;3220;3221;3222;3223;3224;3225;3226;3227;3228;3229;3230;3231;3232;3233;3234;3235;3236;3237;3238;3239;3240;10984;10985;10986;10987;10988;10989;12645;19545;19546;19547;19548;20244;20245;20246;20247;20248;20249;21008;21009;21010;21011;21012;21013;21014;21015;21016;21017;21018;21019;21020;21021;21022;22288;22289;23172;23173;23174;23175;23176;23177;23178;23179;23180;23181;23182;23183;23591;23592;23593;23594;24441;24442;24443;29900;29901;29902;29903;29904;29905;30496;30497;30498;30499;30500;30501;30502;30503;30504;30505;30506;30507;33188;33189;37659;37660;37661;37662;37663;37664;37665;37666	540;541;542;1947;1948;1949;2067;2068;2069;2070;2071;2072;2073;2074;2075;2076;2077;2078;2079;2080;2081;2082;2083;2084;6841;6842;6843;6844;7855;12211;12643;12644;12645;12646;12647;13084;13085;13086;13087;13088;13089;13090;13888;14452;14453;14454;14455;14456;14457;14458;14459;14460;14712;14713;14714;15248;15249;15250;18700;18701;18702;18703;19080;19081;19082;19083;19084;19085;19086;19087;20788;20789;23629;23630;23631;23632;23633	542;1948;2067;2076;2084;6843;7855;12211;12643;13088;13888;14452;14455;14712;15250;18700;19082;20788;23631	0;1	281;406
sp|P07477|TRY1_HUMAN;CON__P07477	sp|P07477|TRY1_HUMAN;CON__P07477	1;1	1;1	1;1	>sp|P07477|TRY1_HUMAN Trypsin-1 OS=Homo sapiens GN=PRSS1 PE=1 SV=1;>P07477 SWISS-PROT:P07477 Tax_Id=9606 Gene_Symbol=PRSS1 Trypsin-1 precursor	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	4	26.558	247	247;247	0.0046702	By MS/MS	By matching	By MS/MS	By matching	By matching	By matching	4	4	4	4	4	4	168900000	55754000	28169000	34920000	23275000	11040000	15736000	0	0	0	0	0	21408000	1	0	1	0	0	0	2			+	11	6663	True	6678	32504;32505;32506;32507;32508;32509	20351;20352	20352		
CON__P08727;sp|P08727|K1C19_HUMAN;CON__A2A4G1;CON__ENSEMBL:ENSP00000377550;CON__P08730-1;sp|P13646|K1C13_HUMAN;CON__P13646-1;sp|Q99456|K1C12_HUMAN;CON__Q99456	CON__P08727;sp|P08727|K1C19_HUMAN	22;21;4;3;3;3;3;1;1	21;20;4;3;3;3;3;1;1	16;15;0;0;0;0;0;1;1	>P08727 SWISS-PROT:P08727 Tax_Id=9606 Gene_Symbol=KRT19 Keratin, type I cytoskeletal 19;>sp|P08727|K1C19_HUMAN Keratin, type I cytoskeletal 19 OS=Homo sapiens GN=KRT19 PE=1 SV=4	9	22	21	16	22	21	21	3	5	6	21	20	20	3	5	6	16	15	16	2	2	5	61.8	59.5	50.2	44.091	400	400;400;456;420;437;458;458;494;494	0	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	61.8	60	59.5	9	17.5	18.2	79293000000	30729000000	22115000000	26383000000	21756000	17602000	26846000	23113000000	20353000000	18178000000	5466400	4008800	6153900	25	17	26	0	0	0	68			+	12	56;447;970;2177;2340;2353;2492;2902;3739;3805;4233;4835;5169;5694;5826;5972;6129;6242;6243;6247;6671;7295	True;True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True	56;446;972;2184;2347;2360;2499;2909;3746;3812;4241;4846;5180;5705;5837;5984;6142;6255;6256;6257;6262;6686;7313	260;261;262;263;264;265;266;2143;2144;2145;2146;4552;4553;4554;10645;10646;10647;10648;10649;10650;10651;11367;11368;11369;11436;11437;11438;12087;12088;12089;12090;12091;12092;12093;12094;12095;14148;14149;14150;14151;14152;14153;14154;18450;18451;18452;18767;18768;18769;20948;20949;20950;20951;20952;20953;20954;20955;20956;20957;20958;23939;23940;23941;23942;25570;25571;25572;25573;25574;25575;25576;25577;25578;27960;27961;27962;27963;27964;27965;27966;27967;27968;28635;28636;28637;29255;29256;29995;29996;29997;29998;29999;30000;30001;30002;30483;30484;30485;30486;30487;30488;30489;30490;30491;30492;30493;30494;30495;30522;30523;30524;30525;30526;30527;30528;30529;32537;32538;32539;32540;32541;32542;32543;32544;35654;35655;35656;35657	179;180;181;182;183;184;1376;1377;1378;2912;2913;2914;6637;6638;6639;7082;7117;7118;7119;7507;7508;7509;7510;7511;7512;7513;8790;8791;8792;8793;8794;8795;8796;8797;8798;11517;11518;11519;11740;11741;11742;13056;13057;13058;13059;13060;13061;13062;14926;14927;14928;15948;15949;15950;15951;17445;17446;17447;17448;17449;17870;18261;18754;18755;18756;18757;18758;19073;19074;19075;19076;19077;19078;19079;19092;19093;19094;19095;19096;19097;20372;20373;20374;20375;22361	180;1377;2913;6639;7082;7118;7512;8791;11517;11740;13061;14927;15951;17449;17870;18261;18756;19074;19079;19094;20375;22361	2	259
sp|P08729|K2C7_HUMAN;CON__Q3KNV1;CON__P08729;CON__Q9DCV7;sp|Q5XKE5|K2C79_HUMAN;CON__Q5XKE5	sp|P08729|K2C7_HUMAN;CON__Q3KNV1;CON__P08729	20;20;20;5;1;1	18;18;18;3;1;1	16;16;16;2;1;1	>sp|P08729|K2C7_HUMAN Keratin, type II cytoskeletal 7 OS=Homo sapiens GN=KRT7 PE=1 SV=5;>Q3KNV1 TREMBL:Q3KNV1;Q96GE1 Tax_Id=9606 Gene_Symbol=KRT7 keratin 7;>P08729 SWISS-PROT:P08729 Tax_Id=9606 Gene_Symbol=KRT7 Keratin, type II cytoskeletal 7	6	20	18	16	19	19	20	3	3	2	18	18	18	2	3	1	16	16	16	2	3	1	36.5	34.8	30.3	51.385	469	469;469;469;457;535;535	0	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	36.5	36.5	36.5	4.5	7.5	4.1	21538000000	8483700000	6071200000	6925800000	10146000	21766000	25164000	1929100000	7499800000	7352500000	0	48262000	0	13	14	18	0	0	0	45			+	13	184;413;414;418;2231;2232;2256;2332;3941;4082;4147;4189;4488;4641;4669;4670;5119;6058;6103;6989	True;True;True;True;True;True;True;True;False;True;True;True;False;True;True;True;True;True;True;True	184;412;413;417;2238;2239;2263;2339;3949;4090;4155;4197;4499;4652;4680;4681;5130;6071;6116;7006	855;856;857;858;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1968;1969;1970;1971;1972;1973;10881;10882;10883;10884;10885;10886;10887;10888;10990;10991;10992;11330;11331;11332;11333;11334;19545;19546;19547;19548;20244;20245;20246;20247;20248;20249;20538;20539;20540;20741;20742;20743;20744;22288;22289;23056;23057;23058;23166;23167;23168;23169;23170;23171;25332;25333;25334;29681;29682;29683;29684;29886;29887;29888;29889;29890;29891;34065;34066;34067;34068	538;539;1255;1256;1257;1258;1259;1260;1267;1268;1269;1270;1271;6771;6772;6773;6774;6775;6776;6777;6778;6845;7060;7061;7062;12211;12643;12644;12645;12646;12647;12832;12833;12834;12941;12942;13888;14373;14374;14375;14447;14448;14449;14450;14451;15795;18548;18549;18550;18691;18692;18693;21334;21335;21336	538;1256;1258;1270;6771;6775;6845;7062;12211;12643;12833;12941;13888;14373;14447;14449;15795;18549;18692;21335		
CON__P12763	CON__P12763	5	5	5	>P12763 SWISS-PROT:P12763 (Bos taurus) Alpha-2-HS-glycoprotein precursor	1	5	5	5	5	5	5	3	3	3	5	5	5	3	3	3	5	5	5	3	3	3	20.6	20.6	20.6	38.418	359	359	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	20.6	20.6	20.6	11.7	11.7	11.7	1184900000	462810000	262540000	318980000	46162000	40088000	54317000	304500000	188800000	259120000	61491000	76614000	98328000	5	2	6	1	0	0	14			+	14	3186;3193;5487;5682;6724	True;True;True;True;True	3193;3200;5498;5693;6739	15715;15716;15717;15754;15755;15756;15757;15758;15759;27047;27048;27049;27906;27907;27908;27909;27910;27911;27912;27913;27914;32804;32805;32806;32807;32808;32809	9803;9804;9836;9837;9838;9839;16887;17413;17414;17415;17416;17417;17418;20545;20546	9804;9836;16887;17415;20545		
CON__P19001	CON__P19001	7	1	1	>P19001 SWISS-PROT:P19001 Tax_Id=10090 Gene_Symbol=Krt19 Keratin, type I cytoskeletal 19	1	7	1	1	7	7	6	1	3	1	1	1	1	0	0	0	1	1	1	0	0	0	14.4	3	3	44.541	403	403	0.0018692	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	14.4	14.4	12.2	2.7	8.9	2.2	1445100000	505960000	474110000	465040000	0	0	0	0	0	390800000	0	0	0	0	1	0	0	0	0	1			+	15	458;3739;4233;5826;6247;6671;7295	True;False;False;False;False;False;False	457;3746;4241;5837;6262;6686;7313	2215;2216;2217;18450;18451;18452;20948;20949;20950;20951;20952;20953;20954;20955;20956;20957;20958;28635;28636;28637;30522;30523;30524;30525;30526;30527;30528;30529;32537;32538;32539;32540;32541;32542;32543;32544;35654;35655;35656;35657	1418;1419;1420;11517;11518;11519;13056;13057;13058;13059;13060;13061;13062;17870;19092;19093;19094;19095;19096;19097;20372;20373;20374;20375;22361	1418;11517;13061;17870;19094;20375;22361		
sp|P19013|K2C4_HUMAN;CON__P19013;CON__Q6NXH9;sp|Q86Y46|K2C73_HUMAN;CON__Q32MB2;CON__ENSEMBL:ENSBTAP00000038253;sp|P12035|K2C3_HUMAN;sp|P14136|GFAP_HUMAN;sp|Q3SY84|K2C71_HUMAN;CON__Q3SY84;CON__Q9R0H5;CON__P07744;CON__P12035;sp|Q01546|K22O_HUMAN;sp|P35908|K22E_HUMAN;CON__P35908	sp|P19013|K2C4_HUMAN;CON__P19013	16;16;2;2;2;2;2;1;1;1;1;1;1;1;1;1	14;14;1;2;2;2;2;0;1;1;1;1;1;1;1;1	12;12;1;1;1;0;1;0;0;0;0;1;0;0;0;0	>sp|P19013|K2C4_HUMAN Keratin, type II cytoskeletal 4 OS=Homo sapiens GN=KRT4 PE=1 SV=4;>P19013 SWISS-PROT:P19013 Tax_Id=9606 Gene_Symbol=KRT4 keratin 4	16	16	14	12	16	14	16	3	2	4	14	12	14	3	2	4	12	10	12	2	2	3	39.5	35.6	31.6	57.285	534	534;594;539;540;540;606;628;432;523;523;524;525;629;638;639;645	0	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	39.5	35.8	39.5	6	4.3	9.2	4676600000	1559700000	1392000000	1475300000	85499000	79954000	84148000	1028700000	1897700000	621200000	0	0	68248000	12	11	7	0	0	0	30			+	16	649;2256;2289;2642;2669;3469;4082;4489;4739;5224;5483;5832;5932;6080;7477;7669	True;False;True;True;True;True;False;True;True;True;True;True;True;True;True;True	650;2263;2296;2649;2676;3476;4090;4500;4750;5235;5494;5843;5943;6093;7495;7687	3050;3051;3052;3053;10990;10991;10992;11115;11116;11117;11118;11119;11120;12847;12848;12849;12958;12959;12960;17205;17206;17207;20244;20245;20246;20247;20248;20249;22290;22291;22292;22293;22294;23514;23515;23516;25869;25870;25871;25872;25873;25874;27015;27016;27017;27018;27019;27020;28658;28659;29084;29085;29086;29796;29797;29798;29799;36493;36494;36495;36496;36497;36498;37442;37443;37444;37445	1950;6845;6924;6925;6926;6927;6928;7993;8060;8061;8062;10738;12643;12644;12645;12646;12647;13889;14671;14672;16124;16125;16126;16871;16872;17887;18153;18154;18155;18622;18623;18624;22891;22892;22893;22894;22895;22896;23478;23479;23480	1950;6845;6926;7993;8060;10738;12643;13889;14671;16125;16871;17887;18155;18623;22896;23478		
CON__P41361	CON__P41361	1	1	1	>P41361 SWISS-PROT:P41361 (Bos taurus) Antithrombin-III precursor	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	2.6	2.6	2.6	52.347	465	465	0.0052083	By matching	By matching	By matching	By matching	By matching	By MS/MS	0	0	0	0	2.6	2.6	20100000	0	0	0	0	10908000	9192000	0	0	0	0	0	12505000	0	0	0	0	0	1	1			+	17	6204	True	6217	30319;30320	18968	18968		
CON__Q3SX09	CON__Q3SX09	1	1	1	>Q3SX09 TREMBL:Q3SX09 (Bos taurus) similar to HBG protein	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1	0	9.5	9.5	9.5	22.06	201	201	0.0015106	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	9.5	9.5	9.5	0	9.5	0	33052000	12398000	8440400	10067000	0	2146800	0	0	0	0	0	3061300	0	1	1	1	0	0	0	3			+	18	2335	True	2342	11346;11347;11348;11349	7069;7070;7071	7071		
CON__Q3SX14	CON__Q3SX14	6	1	1	>Q3SX14 TREMBL:Q3SX14 (Bos taurus) Similar to Gelsolin	1	6	1	1	5	5	4	4	4	4	0	0	0	1	1	1	0	0	0	1	1	1	10.6	2.3	2.3	85.686	781	781	0	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	8.3	8.3	7.2	6.8	6.8	6.8	59192000	0	0	0	24171000	16620000	18401000	0	0	0	0	0	25033000	0	0	0	1	1	1	3			+	19	289;1388;3206;5709;6729;7767	False;False;False;False;True;False	288;1392;3213;5720;6744;7785	1342;1343;1344;6731;6732;6733;6734;6735;6736;15824;15825;15826;15827;15828;15829;15830;15831;15832;15833;15834;15835;28057;28058;28059;32827;32828;32829;37956;37957;37958;37959;37960;37961;37962	861;4195;4196;4197;9883;9884;9885;9886;9887;9888;9889;9890;9891;17506;17507;20558;20559;20560;23826;23827;23828;23829	861;4195;9890;17507;20558;23826		
sp|Q6KB66|K2C80_HUMAN;CON__Q6KB66-1	sp|Q6KB66|K2C80_HUMAN;CON__Q6KB66-1	3;3	2;2	2;2	>sp|Q6KB66|K2C80_HUMAN Keratin, type II cytoskeletal 80 OS=Homo sapiens GN=KRT80 PE=1 SV=2;>Q6KB66-1 SWISS-PROT:Q6KB66-1 Tax_Id=9606 Gene_Symbol=KRT80 Isoform 1 of Keratin, type II cytoskeletal 80	2	3	2	2	2	3	3	1	0	1	1	2	2	1	0	1	1	2	2	1	0	1	8.4	5.8	5.8	50.525	452	452;452	0	By matching	By MS/MS	By MS/MS	By matching	By matching	By matching	5.8	8.4	8.4	2.7	0	2.7	72855000	13469000	17027000	11967000	13307000	0	17085000	0	0	10056000	0	0	0	0	0	1	0	0	0	1			+	20	4082;5851;6399	False;True;True	4090;5862;6414	20244;20245;20246;20247;20248;20249;28741;28742;28743;28744;31188;31189;31190	12643;12644;12645;12646;12647;17939;19535	12643;17939;19535		
CON__Q8BGZ7;sp|O95678|K2C75_HUMAN;CON__O95678;CON__P50446;CON__Q8VED5	CON__Q8BGZ7;sp|O95678|K2C75_HUMAN;CON__O95678;CON__P50446	3;2;2;2;1	1;1;1;1;1	0;0;0;0;0	>Q8BGZ7 TREMBL:Q8BGZ7;Q99MH7 Tax_Id=10090 Gene_Symbol=Krt75 10 days neonate skin cDNA, RIKEN full-length enriched library, clone:4732475I03 product:CYTOKERATIN homolog;>sp|O95678|K2C75_HUMAN Keratin, type II cytoskeletal 75 OS=Homo sapiens GN=KRT75 PE=1 SV	5	3	1	0	3	3	3	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	5.4	2.2	0	59.74	551	551;551;551;553;531	0.0090961	By matching	By MS/MS	By MS/MS	By matching	By matching	By matching	5.4	5.4	5.4	0	0	2.2	404560000	117630000	147010000	134190000	0	0	5729300	0	0	0	0	0	7794200	0	1	1	0	0	0	2			+	21	648;2255;6245	False;False;True	649;2262;6260	3047;3048;3049;10984;10985;10986;10987;10988;10989;30508;30509;30510;30511	1947;1948;1949;6841;6842;6843;6844;19088;19089	1948;6843;19088		
REV__sp|O14929|HAT1_HUMAN	REV__sp|O14929|HAT1_HUMAN	1	1	1	>sp|O14929|HAT1_HUMAN Histone acetyltransferase type B catalytic subunit OS=Homo sapiens GN=HAT1 PE=1 SV=1	1	1	1	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	49.512	419	419	0.0074627	By matching	By matching	By matching	By MS/MS	By matching	By MS/MS	0	0	0	0	0	0	935060000	0	0	0	384650000	0	550410000	0	0	0	0	0	374390000	0	0	0	1	0	1	2		+		22	6574	True	6589	32077;32078;32079;32080	20119;20120	20119		
REV__sp|O75094|SLIT3_HUMAN	REV__sp|O75094|SLIT3_HUMAN	2	2	2	>sp|O75094|SLIT3_HUMAN Slit homolog 3 protein OS=Homo sapiens GN=SLIT3 PE=2 SV=3	1	2	2	2	0	0	0	0	2	1	0	0	0	0	2	1	0	0	0	0	2	1	0	0	0	167.71	1523	1523	0.00080321	By matching	By matching	By matching	By matching	By MS/MS	By matching	0	0	0	0	0	0	96402000	0	0	0	0	87734000	8667800	0	0	0	0	62555000	0	0	0	0	0	2	0	2		+		23	3725;4717	True;True	3732;4728	18375;18376;23398;23399;23400	11473;14602	11473;14602		
REV__sp|P08670|VIME_HUMAN	REV__sp|P08670|VIME_HUMAN	1	1	1	>sp|P08670|VIME_HUMAN Vimentin OS=Homo sapiens GN=VIM PE=1 SV=4	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	53.651	466	466	0.0096045	By matching	By matching	By matching	By MS/MS	By MS/MS	By matching	0	0	0	0	0	0	200830000	0	0	0	50453000	99627000	50751000	0	0	0	0	0	69042000	0	0	0	0	1	0	1		+		24	2758	True	2765	13468;13469;13470;13471	8367;8368	8368		
REV__sp|P19021|AMD_HUMAN	REV__sp|P19021|AMD_HUMAN	1	1	1	>sp|P19021|AMD_HUMAN Peptidyl-glycine alpha-amidating monooxygenase OS=Homo sapiens GN=PAM PE=1 SV=2	1	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	0	0	108.33	973	973	0.0063547	By matching	By matching	By matching	By MS/MS	By matching	By matching	0	0	0	0	0	0	246310000	0	3918500	0	157830000	35901000	48663000	0	0	0	0	0	66202000	0	0	0	1	0	0	1		+		25	5042	True	5053	24986;24987;24988;24989;24990	15577	15577		
REV__sp|P61570|ENK25_HUMAN;REV__sp|Q9UKH3|ENK9_HUMAN;REV__sp|P61565|ENK21_HUMAN	REV__sp|P61570|ENK25_HUMAN;REV__sp|Q9UKH3|ENK9_HUMAN;REV__sp|P61565|ENK21_HUMAN	1;1;1	1;1;1	1;1;1	>sp|P61570|ENK25_HUMAN Endogenous retrovirus group K member 25 Env polyprotein OS=Homo sapiens GN=ERVK-25 PE=3 SV=1;>sp|Q9UKH3|ENK9_HUMAN Endogenous retrovirus group K member 9 Env polyprotein OS=Homo sapiens GN=ERVK-9 PE=1 SV=1;>sp|P61565|ENK21_HUMAN Endo	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	74.891	661	661;698;698	0.0085763	By MS/MS	By matching	By MS/MS	By matching	By matching	By matching	0	0	0	0	0	0	202010000	52154000	28568000	55455000	21235000	18384000	26210000	0	0	0	0	0	35657000	1	0	1	0	0	0	2		+		26	2822	True	2829	13774;13775;13776;13777;13778;13779;13780;13781	8568;8569	8568		
REV__sp|P78527|PRKDC_HUMAN	REV__sp|P78527|PRKDC_HUMAN	1	1	1	>sp|P78527|PRKDC_HUMAN DNA-dependent protein kinase catalytic subunit OS=Homo sapiens GN=PRKDC PE=1 SV=3	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	469.08	4128	4128	0.0069164	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	0	0	0	0	0	0	1140900000	0	0	0	561940000	304010000	274990000	0	0	0	0	0	187050000	0	0	0	1	1	1	3		+		27	2410	True	2417	11647;11648;11649;11650;11651;11652	7242;7243;7244	7244		
REV__sp|Q13972|RGRF1_HUMAN	REV__sp|Q13972|RGRF1_HUMAN	1	1	1	>sp|Q13972|RGRF1_HUMAN Ras-specific guanine nucleotide-releasing factor 1 OS=Homo sapiens GN=RASGRF1 PE=1 SV=2	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	145.23	1273	1273	0.0091481	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	0	0	0	0	0	0	729720000	0	0	0	273530000	218870000	237320000	0	0	0	0	0	161430000	0	0	0	1	1	1	3		+		28	4220	True	4228	20880;20881;20882;20883;20884;20885	13020;13021;13022	13020		
REV__sp|Q52LA3|LIN52_HUMAN	REV__sp|Q52LA3|LIN52_HUMAN	1	1	1	>sp|Q52LA3|LIN52_HUMAN Protein lin-52 homolog OS=Homo sapiens GN=LIN52 PE=1 SV=1	1	1	1	1	1	0	0	1	1	0	1	0	0	1	1	0	1	0	0	1	1	0	0	0	0	13.001	116	116	0.0052417	By matching	By matching	By matching	By MS/MS	By matching	By matching	0	0	0	0	0	0	42388000	22292000	0	0	18794000	1302400	0	0	0	0	0	1857300	0	0	0	0	1	0	0	1		+		29	7099	True	7116	34618;34619;34620;34621	21672	21672		
REV__sp|Q5T655|CFA58_HUMAN	REV__sp|Q5T655|CFA58_HUMAN	1	1	1	>sp|Q5T655|CFA58_HUMAN Cilia- and flagella-associated protein 58 OS=Homo sapiens GN=CFAP58 PE=1 SV=1	1	1	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	1	0	0	0	103.42	872	872	0.0042502	By matching	By matching	By matching	By matching	By MS/MS	By MS/MS	0	0	0	0	0	0	372090000	3821500	0	27420000	0	164890000	175950000	0	0	0	0	0	119680000	0	0	0	0	0	1	1		+		30	5596	True	5607	27514;27515;27516;27517;27518	17172;17173	17173		
REV__sp|Q63HK5|TSH3_HUMAN	REV__sp|Q63HK5|TSH3_HUMAN	1	1	1	>sp|Q63HK5|TSH3_HUMAN Teashirt homolog 3 OS=Homo sapiens GN=TSHZ3 PE=1 SV=2	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	118.56	1081	1081	0.0018927	By matching	By matching	By matching	By matching	By matching	By MS/MS	0	0	0	0	0	0	27721000	3279400	0	0	0	0	24441000	0	0	0	0	0	33250000	0	0	0	0	0	1	1		+		31	5514	True	5525	27153;27154	16959	16959		
REV__sp|Q8IZT6|ASPM_HUMAN	REV__sp|Q8IZT6|ASPM_HUMAN	1	1	1	>sp|Q8IZT6|ASPM_HUMAN Abnormal spindle-like microcephaly-associated protein OS=Homo sapiens GN=ASPM PE=1 SV=2	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	409.8	3477	3477	0.005787	By MS/MS	By matching	By matching	By matching	By matching	By matching	0	0	0	0	0	0	319400000	140870000	108470000	70054000	0	0	0	0	0	58870000	0	0	0	1	0	0	0	0	0	1		+		32	2845	True	2852	13883;13884;13885;13886	8623	8623		
REV__sp|Q8TD84|DSCL1_HUMAN	REV__sp|Q8TD84|DSCL1_HUMAN	1	1	1	>sp|Q8TD84|DSCL1_HUMAN Down syndrome cell adhesion molecule-like protein 1 OS=Homo sapiens GN=DSCAML1 PE=1 SV=2	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	224.46	2053	2053	0.003075	By matching	By matching	By MS/MS	By matching	By matching	By matching	0	0	0	0	0	0	69873000	0	0	69873000	0	0	0	0	0	58718000	0	0	0	0	0	1	0	0	0	1		+		33	3249	True	3256	16025	10011	10011		
REV__sp|Q9NXG0|CNTLN_HUMAN	REV__sp|Q9NXG0|CNTLN_HUMAN	2	2	2	>sp|Q9NXG0|CNTLN_HUMAN Centlein OS=Homo sapiens GN=CNTLN PE=1 SV=5	1	2	2	2	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	161.6	1405	1405	0.0015314	By MS/MS	By matching	By MS/MS	By matching	By MS/MS	By matching	0	0	0	0	0	0	93096000	21041000	12182000	20212000	13627000	26035000	0	0	0	0	0	18563000	0	1	0	1	0	1	0	3		+		34	2717;4540	True;True	2724;4551	13222;13223;13224;13225;13226;22553;22554;22555	8218;8219;14058	8218;14058		
