Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 0	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity 0	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity count 0	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
Q9NTZ6	Q9NTZ6	3	3	3	RNA-binding protein 12	RBM12		1	3	3	3	2.9	2.9	2.9	97.394	932	932	0	17.494	17612	47894	94379	219490	230720	17891	50117	93567	206740	221680	3	3	3	3	3	33481000	3				1943	2902;3839;5437	True;True;True	2887;3827;5434	3530;4669;6635	3813;5010;7116	3813;5010;7116		
Q9NUJ1	Q9NUJ1	1	1	1	Mycophenolic acid acyl-glucuronide esterase, mitochondrial	ABHD10		1	1	1	1	5.2	5.2	5.2	33.932	306	306	0.0010526	6.8616	694.7	2754.2	5293.4	11417	12977	729.04	2854	5231.3	10768	12469	1	1	1	1	1	607800	1				1944	325	True	316	411	452	452		
Q9NUQ3;Q9BZA5	Q9NUQ3	4;1	4;1	4;1	Gamma-taxilin	TXLNG		2	4	4	4	10.2	10.2	10.2	60.585	528	528;131	0	28.953	18997	41355	78054	197800	216130	18946	43467	78190	186220	207090	4	4	4	4	4	36860000	4				1945	870;2701;3556;5411	True;True;True;True	855;2686;3543;5408	1065;3283;4301;6603	1153;3543;4619;7081	1153;3543;4619;7081		
Q9NUQ9;Q9H0Q0	Q9NUQ9	5;2	5;2	5;2	Protein FAM49B	FAM49B		2	5	5	5	20.7	20.7	20.7	36.748	324	324;323	0	37.39	45954	109460	200520	596240	678550	46004	116740	203360	560500	647700	6	6	6	6	6	201250000	6				1946	2522;8616;11064;11983;12019	True;True;True;True;True	2507;8625;11071;11992;12028	3075;10440;13345;14463;14505	3318;3319;11143;14275;15451;15495	3319;11143;14275;15451;15495		
Q9NUU7;Q9UMR2	Q9NUU7;Q9UMR2	5;4	5;4	5;4	ATP-dependent RNA helicase DDX19A;ATP-dependent RNA helicase DDX19B	DDX19A;DDX19B	;	2	5	5	5	10.7	10.7	10.7	53.974	478	478;479	0	33.974	42888	102250	186840	541120	586670	42930	108680	188510	508850	560750	5	5	5	5	5	127710000	5				1947	183;2691;5994;7155;11222	True;True;True;True;True	179;2676;5995;7161;11228	221;3272;7322;8703;13523	247;3532;7849;9335;14460	247;3532;7849;9335;14460		
Q9NV06	Q9NV06	3	3	3	DDB1- and CUL4-associated factor 13	DCAF13		1	3	3	3	8.8	8.8	8.8	51.402	445	445	0	20.734	9992.8	25401	47095	137150	150700	10056	27062	47528	128940	143990	3	3	3	3	3	20926000	3				1948	3943;9079;10153	True;True;True	3931;9091;10163	4786;10997;12252	5128;11747;13113	5128;11747;13113		
Q9NV31	Q9NV31	2	2	2	U3 small nucleolar ribonucleoprotein protein IMP3	IMP3		1	2	2	2	8.7	8.7	8.7	21.85	184	184	0	13.124	6651.1	17498	35439	71403	74798	6753.6	18106	34881	67359	72140	1	1	1	1	1	9214400	2				1949	1228;9649	True;True	1215;9661	1505;11656	1626;12457	1626;12457		
Q9NVI1	Q9NVI1	2	2	2	Fanconi anemia group I protein	FANCI		1	2	2	2	1.7	1.7	1.7	149.32	1328	1328	0	13.022	5026.5	8584.6	18049	45486	44260	4974.4	9126	17995	42772	42524	2	2	2	2	2	10679000	2				1950	5017;11900	True;True	5011;11909	6116;14358	6554;15343	6554;15343		
Q9NVI7;Q5T2N8	Q9NVI7	15;7	15;7	8;4	ATPase family AAA domain-containing protein 3A	ATAD3A		2	15	15	8	24.1	24.1	14.8	71.368	634	634;411	0	102.61	107010	264980	510940	1406700	1533600	107780	281750	513370	1322800	1467100	15	15	15	15	15	449810000	15				1951	421;1362;1684;2847;3211;4702;4724;7257;7365;8799;9417;10639;10902;11066;12114	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	411;1347;1666;2832;3197;4696;4718;7263;7371;8811;9429;10647;10909;11073;12125	534;1659;2058;3458;3901;5747;5773;8816;8956;10665;11372;12825;13150;13348;14635	585;1794;2227;3735;4200;6152;6178;9451;9596;11388;12150;13713;14069;14279;15635	585;1794;2227;3735;4200;6152;6178;9451;9596;11388;12150;13713;14069;14279;15635		
Q9NVJ2;Q96BM9	Q9NVJ2;Q96BM9	2;1	2;1	2;1	ADP-ribosylation factor-like protein 8B;ADP-ribosylation factor-like protein 8A	ARL8B;ARL8A	;	2	2	2	2	13.4	13.4	13.4	21.539	186	186;186	0	12.657	16626	42366	79552	233900	270300	16748	45257	80609	219850	257990	2	2	2	2	2	23897000	2				1952	5155;8548	True;True	5150;8556	6286;10363	6739;11058	6739;11058		
Q9NVP1	Q9NVP1	12	12	12	ATP-dependent RNA helicase DDX18	DDX18		1	12	12	12	17.2	17.2	17.2	75.406	670	670	0	93.346	90268	225310	404820	1185100	1257500	90529	239320	407990	1114500	1202200	15	15	15	15	15	241590000	15				1953	2032;3021;3179;4466;4655;5835;6032;8665;8876;9826;9932;12084	True;True;True;True;True;True;True;True;True;True;True;True	2015;3007;3165;4459;4649;5835;6033;8674;8888;9837;9941;12095	2477;3673;3861;5461;5462;5684;7119;7120;7367;10500;10756;11852;11972;14600	2672;3961;4157;5843;5844;6088;7632;7633;7896;11204;11485;12677;12678;12813;15597	2672;3961;4157;5843;6088;7633;7896;11204;11485;12678;12813;15597		
Q9NVS9	Q9NVS9	1	1	1	Pyridoxine-5-phosphate oxidase	PNPO		1	1	1	1	3.4	3.4	3.4	29.988	261	261	0.0056711	5.9207	7543.3	19563	41739	94068	108290	7682.6	20574	41500	88553	103900	1	1	1	1	1	5349000	1				1954	4294	True	4285	5245	5613	5613		
Q9NVU0	Q9NVU0	1	1	1	DNA-directed RNA polymerase III subunit RPC5	POLR3E		1	1	1	1	2.4	2.4	2.4	79.897	708	708	0.00057703	8.6094	1755.6	5754.7	10418	26402	28218	1798.4	6022.5	10376	24869	27051	1	1	1	1	1	4897000	1				1955	6735	True	6739	8190	8779	8779		
Q9NVU7	Q9NVU7	1	1	1	Protein SDA1 homolog	SDAD1		1	1	1	1	1	1	1	79.87	687	687	0.0052182	5.9685	1237.4	2163.4	5658.8	13391	15760	1242.6	2344.7	5662.4	12572	15099	1	1	1	1	1	3874900	1				1956	11038	True	11045	13315	14245	14245		
Q9NVV0	Q9NVV0	1	1	1	Trimeric intracellular cation channel type B	TMEM38B		1	1	1	1	4.8	4.8	4.8	32.509	291	291	0.00053305	6.9949	434.77	1844.3	2926.6	6074.7	7129.5	450.52	1874.6	2894.3	5749.6	6851	1	1	1	1	1	1166600	1				1957	8319	True	8327	10098	10778	10778		
Q9NVX2	Q9NVX2	1	1	1	Notchless protein homolog 1	NLE1		1	1	1	1	2.5	2.5	2.5	53.32	485	485	0.0056899	5.9463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				1958	12689	True	12700	15350	16402	16402		
Q9NW13	Q9NW13	10	10	10	RNA-binding protein 28	RBM28		1	10	10	10	15.2	15.2	15.2	85.737	759	759	0	80.294	49200	119500	246990	575200	600930	49734	125690	244990	541470	577470	9	9	9	9	9	80923000	10				1959	67;617;2954;4945;5139;6673;8890;9412;9964;12251	True;True;True;True;True;True;True;True;True;True	66;602;2940;4939;5134;6677;8902;9424;9973;12262	83;760;3592;6031;6261;8123;10773;11367;12009;14792	93;834;3878;6462;6713;8706;11502;12145;12851;15797	93;834;3878;6462;6713;8706;11502;12145;12851;15797		
Q9NW64	Q9NW64	2	2	2	Pre-mRNA-splicing factor RBM22	RBM22		1	2	2	2	6.2	6.2	6.2	46.895	420	420	0.00060901	11.005	10570	28197	49991	144210	163130	10639	29855	50517	135660	155810	2	2	2	2	2	17385000	2				1960	1667;9916	True;True	1649;9925	2036;11953	2204;12794	2204;12794		
Q9NWH9	Q9NWH9	4	4	4	SAFB-like transcription modulator	SLTM		1	4	4	4	4.4	4.4	4.4	117.15	1034	1034	0	29.175	8827	24444	43807	138980	146560	8915.2	26206	44320	130590	139920	3	3	3	3	3	33127000	4				1961	4973;6511;8842;10430	True;True;True;True	4967;6515;8854;10438	6064;7935;10714;12573	6497;8503;11440;13449	6497;8503;11440;13449		
Q9NWV4	Q9NWV4	3	3	3	UPF0587 protein C1orf123	C1orf123		1	3	3	3	15	15	15	18.048	160	160	0	19.203	26097	55912	115150	286760	288560	26145	59218	114590	269750	277100	2	2	2	2	2	20763000	3				1962	4977;7701;10978	True;True;True	4971;7709;10985	6070;9355;13249	6503;10011;14177	6503;10011;14177		
Q9NX14	Q9NX14	1	1	1	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial	NDUFB11		1	1	1	1	7.2	7.2	7.2	17.316	153	153	0.0015353	6.5804	6706.5	19705	43945	62925	64768	6931.7	19984	42558	59590	63204	1	1	1	1	1	13451000	1				1963	11346	True	11353	13677	14624	14624		
Q9NX18	Q9NX18	1	1	1	Succinate dehydrogenase assembly factor 2, mitochondrial	SDHAF2		1	1	1	1	4.8	4.8	4.8	19.599	166	166	0.0048031	6.0648	2851.5	8790.3	22695	59269	67239	3006.8	9639.9	22672	55605	64339	1	1	1	1	1	5382000	1				1964	10760	True	10767	12977	13889	13889		
Q9NX24	Q9NX24	4	4	4	H/ACA ribonucleoprotein complex subunit 2	NHP2		1	4	4	4	54.2	54.2	54.2	17.201	153	153	0	28.489	15520	38235	70188	217910	244110	15574	41003	71292	204760	232910	4	4	4	4	4	57148000	4				1965	4066;4583;5802;9701	True;True;True;True	4056;4577;5802;9713	4960;5604;7083;11715	5314;6002;7594;12528	5314;6002;7594;12528		
Q9NX40	Q9NX40	1	1	1	OCIA domain-containing protein 1	OCIAD1		1	1	1	1	3.3	3.3	3.3	27.626	245	245	0.0038573	6.12	5595	14343	26327	82230	104760	5629.5	15393	27012	77262	99742	1	1	1	1	1	7653400	1				1966	8810	True	8822	10678	11402	11402		
Q9NX46	Q9NX46	1	1	1	Poly(ADP-ribose) glycohydrolase ARH3	ADPRHL2		1	1	1	1	3.3	3.3	3.3	38.946	363	363	0.005663	5.904	7737.5	19587	47874	59985	58111	7955.4	19804	46121	56849	57178	1	1	1	1	1	6679200	1				1967	3065	True	3051	3725	4014	4014		
Q9NX55	Q9NX55	3	3	3	Huntingtin-interacting protein K	HYPK		1	3	3	3	31	31	31	14.665	129	129	0	26.802	22318	56322	102920	292940	318490	22425	59746	103660	275520	304500	3	3	3	3	3	45172000	3				1968	2945;6380;12228	True;True;True	2930;6384;12239	3578;7788;14767	3862;8348;15772	3862;8348;15772		
Q9NX58	Q9NX58	3	3	3	Cell growth-regulating nucleolar protein	LYAR		1	3	3	3	9.2	9.2	9.2	43.614	379	379	0	27.42	16571	36585	64350	209810	231820	16471	39264	65673	197130	221050	3	3	3	3	3	38946000	3				1969	3088;5409;11837	True;True;True	3074;5406;11846	3752;6601;14285	4042;7079;15267	4042;7079;15267		
Q9NX63	Q9NX63	9	9	9	MICOS complex subunit MIC19	CHCHD3		1	9	9	9	37.9	37.9	37.9	26.152	227	227	0	62.507	88970	222190	410250	1142100	1230300	89394	235380	412360	1074400	1177000	9	9	9	9	9	248830000	10				1970	26;66;5536;6419;6780;11414;12277;12580;12792	True;True;True;True;True;True;True;True;True	25;65;5533;6423;6785;11421;12288;12591;12806	29;82;6750;7830;8238;13755;13756;14823;15220;15482	29;92;7241;8392;8832;14703;14704;15830;16264;16541	29;92;7241;8392;8832;14704;15830;16264;16541		
Q9NXG2	Q9NXG2	3	3	3	THUMP domain-containing protein 1	THUMPD1		1	3	3	3	7.4	7.4	7.4	39.315	353	353	0	18.712	27578	69213	121610	358270	406850	27627	73382	123210	336980	388430	3	3	3	3	3	29691000	3				1971	1218;11035;12508	True;True;True	1205;11042;12519	1493;13312;15136	1612;14242;16177	1612;14242;16177		
Q9NXH9	Q9NXH9	3	3	3	tRNA (guanine(26)-N(2))-dimethyltransferase	TRMT1		1	3	3	3	5.9	5.9	5.9	72.233	659	659	0	18.343	4601.5	10225	19453	44831	45077	4570.7	10652	19290	42251	43368	1	2	2	2	2	6115400	3				1972	44;3995;11894	True;True;True	43;3985;11903	51;4855;14351	56;5201;15336	56;5201;15336		
Q9NY12	Q9NY12	3	3	3	H/ACA ribonucleoprotein complex subunit 1	GAR1		1	3	3	3	16.6	16.6	16.6	22.348	217	217	0	22.358	17230	40462	76216	216790	219000	17264	43070	76443	203830	209680	3	3	3	3	3	50487000	3				1973	3898;4912;12331	True;True;True	3886;4906;12342	4736;5995;14904	5078;6422;15923	5078;6422;15923		
Q9NY33	Q9NY33	12	12	11	Dipeptidyl peptidase 3	DPP3		1	12	12	11	22	22	19.4	82.588	737	737	0	129.09	87565	224290	408600	1203900	1276200	87993	238800	411730	1131900	1220000	10	11	11	11	11	206160000	12				1974	366;1142;3510;3950;4138;7050;7069;7278;7670;10516;11804;12306	True;True;True;True;True;True;True;True;True;True;True;True	1129;3497;3938;4128;7056;7075;7284;7678;10524;11813;12317	1404;4247;4795;5047;8546;8566;8846;9321;12679;14244;14860;14861	1516;4564;5138;5406;9164;9184;9482;9977;13563;15224;15869;15870	1516;4564;5138;5406;9164;9184;9482;9977;13563;15224;15870		
Q9NY93	Q9NY93	2	2	2	Probable ATP-dependent RNA helicase DDX56	DDX56		1	2	2	2	3.7	3.7	3.7	61.589	547	547	0	12.32	16273	40349	88559	179540	206060	16551	42098	87557	169180	198230	2	2	2	2	2	19765000	2				1975	1241;4864	True;True	1228;4858	1518;5936	1640;6353	1640;6353		
Q9NYB0	Q9NYB0	1	1	1	Telomeric repeat-binding factor 2-interacting protein 1	TERF2IP		1	1	1	1	3.5	3.5	3.5	44.259	399	399	0.001533	6.5594	2776.2	6486.2	10878	37308	45904	2760.9	6963.6	11245	35052	43667	1	1	1	1	1	4161500	1				1976	9177	True	9189	11106	11865	11865		
Q9NYF8	Q9NYF8	9	9	9	Bcl-2-associated transcription factor 1	BCLAF1		1	9	9	9	11.2	11.2	11.2	106.12	920	920	0	69.37	52495	131200	248450	740000	860810	52840	140520	252140	695400	821350	9	9	9	9	9	137390000	9				1977	3353;3447;7565;8277;9016;9682;10441;10587;10933	True;True;True;True;True;True;True;True;True	3339;3433;7573;8287;9028;9694;10449;10595;10940	4061;4170;9198;10051;10925;11694;12586;12763;13188	4369;4485;9847;10730;11672;12504;13462;13650;14111	4369;4485;9847;10730;11672;12504;13462;13650;14111		
Q9NYH9	Q9NYH9	1	1	1	U3 small nucleolar RNA-associated protein 6 homolog	UTP6		1	1	1	1	2.7	2.7	2.7	70.193	597	597	0.00056561	8.0278	1609.3	1626.8	2672.1	13553	15283	1546.5	1844.1	2903.4	12694	14485	1	1	1	1	1	3976400	1				1978	9554	True	9566	11524	12312	12312		
Q9NYJ1	Q9NYJ1	2	2	2	Cytochrome c oxidase assembly factor 4 homolog, mitochondrial	COA4		1	2	2	2	29.9	29.9	29.9	10.134	87	87	0	18.572	15601	38303	74994	174540	177660	15720	40059	74321	164420	170840	2	2	2	2	2	63927000	2				1979	1736;11855	True;True	1718;11864	2122;14308	2298;15293	2298;15293		
Q9NYK5	Q9NYK5	3	3	3	39S ribosomal protein L39, mitochondrial	MRPL39		1	3	3	3	8	8	8	38.711	338	338	0	18.673	23371	57125	111260	278250	284960	23534	60160	110730	261900	273510	3	3	3	3	3	33035000	3				1980	529;1295;8677	True;True;True	516;1280;8689	650;1582;10518	707;1713;11225	707;1713;11225		
Q9NYL4	Q9NYL4	2	2	2	Peptidyl-prolyl cis-trans isomerase FKBP11	FKBP11		1	2	2	2	13.9	13.9	13.9	22.18	201	201	0	18.5	38845	93242	184870	461990	469850	39115	98377	183920	434750	451050	3	3	3	3	3	106580000	3				1981	2170;9476	True;True	2154;9488	2647;2648;11439	2849;2850;12224	2850;12224		
Q9NYL9;Q9NZR1	Q9NYL9	6;1	6;1	6;1	Tropomodulin-3	TMOD3		2	6	6	6	23.3	23.3	23.3	39.594	352	352;351	0	50.127	28287	66290	130420	362640	417960	28421	70737	131670	340890	399340	6	6	6	6	6	73804000	6				1982	864;2127;2225;3808;5888;9316	True;True;True;True;True;True	849;2111;2209;3796;5888;9328	1058;2593;2710;4633;7191;11257	1146;2791;2915;4972;7705;12027	1146;2791;2915;4972;7705;12027		
Q9NYU2	Q9NYU2	6	6	6	UDP-glucose:glycoprotein glucosyltransferase 1	UGGT1		1	6	6	6	3.2	3.2	3.2	177.19	1555	1555	0	33.854	40309	94507	173470	525140	592490	40317	101040	176080	493560	565460	6	6	6	6	6	50098000	6				1983	2950;3535;4034;5457;10837;12438	True;True;True;True;True;True	2935;3522;4024;5454;10844;12449	3584;4278;4919;6658;13064;15051	3870;4596;5272;7142;13979;16090	3870;4596;5272;7142;13979;16090		
Q9NZ01	Q9NZ01	4	4	4	Very-long-chain enoyl-CoA reductase	TECR		1	4	4	4	11.4	11.4	11.4	36.034	308	308	0	25.998	20631	54974	99946	284550	327000	20801	58285	100990	267650	312320	5	5	5	5	5	292470000	5				1984	2072;5453;8574;10921	True;True;True;True	2055;5450;8582;10928	2524;6652;6653;10392;13171	2719;7136;7137;11090;14090	2719;7136;11090;14090		
Q9NZ45	Q9NZ45	4	4	4	CDGSH iron-sulfur domain-containing protein 1	CISD1		1	4	4	4	44.4	44.4	44.4	12.199	108	108	0	31.523	31160	74025	157130	360660	387240	31508	77960	155950	339460	372010	4	4	4	4	4	166430000	4				1985	1009;5378;6169;6454	True;True;True;True	995;5373;6172;6458	1241;6560;7547;7872	1344;7031;8087;8437	1344;7031;8087;8437		
Q9NZ53	Q9NZ53	1	1	1	Podocalyxin-like protein 2	PODXL2		1	1	1	1	2.3	2.3	2.3	65.075	605	605	0.0015568	6.7424	1371.6	3623.3	4152.3	11145	10756	1345.9	3664.5	4164.8	10562	10321	1	1	1	1	1	2223700	1				1986	4884	True	4878	5962	6386	6386		
Q9NZ63	Q9NZ63	4	4	4	Uncharacterized protein C9orf78	C9orf78		1	4	4	4	11.8	11.8	11.8	33.688	289	289	0	23.041	30969	77684	141620	394450	413980	31099	82185	142130	371090	396230	4	4	4	4	4	45602000	4				1987	1335;6502;7530;7560	True;True;True;True	1320;6506;7538;7568	1626;7925;9159;9192	1760;8492;9806;9841	1760;8492;9806;9841		
Q9NZD2	Q9NZD2	3	3	3	Glycolipid transfer protein	GLTP		1	3	3	3	14.4	14.4	14.4	23.85	209	209	0	19.258	16804	41138	79057	184780	179420	16907	42961	78199	174100	172710	3	3	3	3	3	13459000	3				1988	327;1554;4938	True;True;True	318;1537;4932	413;1902;6024	454;2064;6454	454;2064;6454		
Q9NZL4	Q9NZL4	3	3	3	Hsp70-binding protein 1	HSPBP1		1	3	3	3	13.5	13.5	13.5	39.474	362	362	0	33.101	14473	37138	73882	178860	193610	14648	39064	73567	168370	185730	3	3	3	3	3	47072000	3				1989	180;2733;7663	True;True;True	176;2718;7671	218;3319;9312	243;3579;9968	243;3579;9968		
Q9NZL9	Q9NZL9	5	5	5	Methionine adenosyltransferase 2 subunit beta	MAT2B		1	5	5	5	21	21	21	37.551	334	334	0	51.281	34795	91278	192170	414150	452780	35431	95419	190080	390140	435440	5	5	5	5	5	82463000	5				1990	3381;5971;7191;9674;12004	True;True;True;True;True	3367;5971;7197;9686;12013	4093;7293;8741;11686;14488	4403;7810;9373;12495;15477	4403;7810;9373;12495;15477		
Q9P013	Q9P013	3	3	3	Spliceosome-associated protein CWC15 homolog	CWC15		1	3	3	3	11.8	11.8	11.8	26.624	229	229	0	19.589	6659.2	14314	30316	71746	73518	6685.1	15122	30102	67507	70654	2	2	2	2	2	14959000	3				1991	2063;9458;9753	True;True;True	2046;9470;9765	2513;11418;11770	2708;12198;12589	2708;12198;12589		
Q9P015	Q9P015	1	1	1	39S ribosomal protein L15, mitochondrial	MRPL15		1	1	1	1	3.7	3.7	3.7	33.419	296	296	0.0015345	6.5774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				1992	5868	True	5868	7167	7681	7681		
Q9P016	Q9P016	3	3	3	Thymocyte nuclear protein 1	THYN1		1	3	3	3	11.1	11.1	11.1	25.697	225	225	0	16.657	15348	43141	72545	234280	250090	15447	45995	73598	220240	238650	3	3	3	3	3	18558000	3				1993	3836;7022;11593	True;True;True	3824;7027;11599	4666;8509;13971	5007;9123;14936	5007;9123;14936		
Q9P021	Q9P021	1	1	1	Cysteine-rich PDZ-binding protein	CRIPT		1	1	1	1	7.9	7.9	7.9	11.216	101	101	0.0019782	6.3316	5873.9	12912	25638	59205	63371	5880.4	13512	25497	55766	60875	1	1	1	1	1	5915800	1				1994	4545	True	4538	5553	5947	5947		
Q9P035	Q9P035	4	4	4	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3	HACD3		1	4	4	4	12.2	12.2	12.2	43.159	362	362	0	52.149	19380	46307	84652	268670	285760	19402	49770	85835	252410	272780	3	3	3	3	3	82567000	4				1995	7239;9686;12202;12452	True;True;True;True	7245;9698;12213;12463	8795;11698;14737;15067	9430;12509;15740;16106	9430;12509;15740;16106		
Q9P0J0	Q9P0J0	2	2	2	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13	NDUFA13		1	2	2	2	16	16	16	16.698	144	144	0	18.027	16478	44376	85110	222120	242960	16692	46872	85166	209000	232660	2	2	2	2	2	29820000	2				1996	5487;7881	True;True	5484;7891	6694;9575	7181;10235	7181;10235		
Q9P0J7	Q9P0J7	3	3	3	E3 ubiquitin-protein ligase KCMF1	KCMF1		1	3	3	3	10.5	10.5	10.5	41.945	381	381	0	21.96	6706.8	16445	35977	74319	85801	6813.8	17184	35621	70015	82491	3	3	3	3	3	10330000	3				1997	1996;2541;10207	True;True;True	1979;2526;10215	2432;3095;12315	2626;3339;13177	2626;3339;13177		
Q9P0L0	Q9P0L0	4	4	3	Vesicle-associated membrane protein-associated protein A	VAPA		1	4	4	3	21.3	21.3	16.5	27.893	249	249	0	26.546	29164	79688	164050	387230	434540	29741	83900	163270	364480	416770	4	4	4	4	4	93752000	4				1998	1636;4856;5287;9650	True;True;True;True	1618;4850;5282;9662	2002;5928;6456;11657	2168;6343;6923;12458	2168;6343;6923;12458		
Q9P0U1	Q9P0U1	1	1	1	Mitochondrial import receptor subunit TOM7 homolog	TOMM7		1	1	1	1	30.9	30.9	30.9	6.2484	55	55	0.0029412	6.2641	785.41	2723.9	3097.5	6572	7579	781.38	2712.9	3083.2	6259.4	7282.1	1	1	1	1	1	4987300	1				1999	4126	True	4116	5033	5391	5391		
Q9P258	Q9P258	13	13	13	Protein RCC2	RCC2		1	13	13	13	24.3	24.3	24.3	56.084	522	522	0	100.19	110820	273330	523160	1483500	1610700	111530	291390	526600	1394600	1540100	15	15	15	15	15	358790000	15				2000	186;589;1514;2326;4929;6670;7253;7359;7360;8259;10487;11682;11856	True;True;True;True;True;True;True;True;True;True;True;True;True	182;574;1497;2310;4923;6674;7259;7365;7366;8269;10495;11689;11865	224;727;1852;2833;6012;8120;8811;8948;8949;10029;12643;14087;14309	250;798;2008;3052;6440;6441;8703;9446;9587;9588;10707;13522;13523;15057;15294	250;798;2008;3052;6440;8703;9446;9587;9588;10707;13523;15057;15294		
Q9P287	Q9P287	3	3	3	BRCA2 and CDKN1A-interacting protein	BCCIP		1	3	3	3	9.2	9.2	9.2	35.979	314	314	0	17.691	29527	70352	145450	400180	426460	29805	75427	145870	376030	408150	3	3	3	3	3	18225000	3				2001	10287;11324;12471	True;True;True	10295;11330;12482	12411;13646;15089	13278;14592;16129	13278;14592;16129		
Q9P289;O00506;Q9Y6E0	Q9P289	5;2;1	5;2;1	5;2;1	Serine/threonine-protein kinase 26	STK26		3	5	5	5	20.4	20.4	20.4	46.528	416	416;426;443	0	46.573	28387	69083	135180	369310	405830	28586	73517	135830	347240	388230	5	5	5	5	5	57335000	5				2002	328;626;5743;6990;8958	True;True;True;True;True	319;611;5742;6995;8970	414;769;7008;8476;10859	455;844;7518;9088;11598	455;844;7518;9088;11598		
Q9P2E9;REV__Q9P2M7	Q9P2E9	44;1	44;1	44;1	Ribosome-binding protein 1	RRBP1		2	44	44	44	45.9	45.9	45.9	152.47	1410	1410;1197	0	323.31	320910	767660	1436600	4056800	4345100	321800	815830	1445300	3814900	4156000	52	52	52	52	52	1419300000	54				2003	15;392;411;426;455;604;997;1155;1694;2473;2590;3281;3359;3566;4262;4308;4309;4329;4833;5344;5371;5392;6256;6265;6269;6270;6271;6484;6862;6895;6903;7441;7857;7865;7911;9314;10090;10099;10696;10808;11169;11257;11611;11689	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	14;382;401;416;444;589;982;1142;1676;2458;2575;3267;3345;3553;4253;4299;4300;4320;4827;5339;5366;5387;6259;6268;6272;6273;6274;6488;6867;6900;6908;7448;7867;7875;7921;9326;10101;10110;10704;10815;11175;11263;11617;11696	16;494;522;541;573;742;1223;1224;1419;2070;3015;3154;3980;4067;4313;5205;5263;5264;5289;5902;6523;6553;6575;7646;7656;7657;7662;7663;7664;7905;8332;8368;8378;9049;9550;9559;9607;11255;12179;12190;12895;13033;13467;13569;13993;14095	16;541;572;573;592;593;625;814;1324;1325;1532;2241;2242;3251;3404;4283;4375;4376;4631;5570;5631;5632;5659;6315;6993;7023;7048;8190;8200;8201;8202;8203;8210;8211;8212;8213;8471;8929;8973;8983;8984;9692;10210;10219;10271;12025;13040;13051;13789;13947;14401;14509;14958;15065	16;541;573;592;625;814;1325;1532;2241;3251;3404;4283;4376;4631;5570;5631;5632;5659;6315;6993;7023;7048;8190;8202;8210;8212;8213;8471;8929;8973;8983;9692;10210;10219;10271;12025;13040;13051;13789;13947;14401;14509;14958;15065		
Q9P2J5	Q9P2J5	14	14	14	Leucine--tRNA ligase, cytoplasmic	LARS		1	14	14	14	14.5	14.5	14.5	134.46	1176	1176	0	118.25	77153	197370	358910	1084000	1228700	77568	210710	364000	1019000	1172600	16	16	16	16	16	201200000	16				2004	2645;3590;4435;6018;6024;7031;8851;8915;10209;10880;11537;11910;12027;12819	True;True;True;True;True;True;True;True;True;True;True;True;True;True	2630;3577;4428;6019;6025;7036;8863;8927;10217;10887;11544;11919;12037;12833	3218;4345;5425;7351;7358;8520;8521;10726;10808;12317;12318;13118;13906;14373;14517;15514	3474;4666;5802;7878;7886;9137;9138;11452;11545;13179;13180;14034;14870;15359;15509;16576	3474;4666;5802;7878;7886;9137;11452;11545;13179;14034;14870;15359;15509;16576		
Q9P2K3	Q9P2K3	1	1	1	REST corepressor 3	RCOR3		1	1	1	1	2.6	2.6	2.6	55.581	495	495	0.0048008	6.0626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				2005	6401	True	6405	7810	8371	8371		
Q9P2R7	Q9P2R7	2	2	2	Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial	SUCLA2		1	2	2	2	3.5	3.5	3.5	50.317	463	463	0	12.715	17860	40854	73663	188850	201810	17816	42788	73741	177860	193420	2	2	2	2	2	42203000	2				2006	1214;5065	True;True	1201;5059	1489;6173	1608;6615	1608;6615		
